  "ag-bie", "rosco", "comment"
  "author", "r_author", ""
  "class", "", ""
  "classGuid", "", ""
  "commonName", "", ""
  "commonNameSingle", "", ""
  "conservationStatus", "", ""
  "family", "", ""
  "familyGuid", "", ""
  "genus", "", ""
  "genusGuid", "", ""
  "guid", "", ""
  "highlight", "", ""
  "id", "", ""
  "idxtype", "", ""
  "infoSourceName", "", ""
  "infoSourceURL", "", ""
  "kingdom", "", ""
  "kingdomGuid", "", ""
  "linkIdentifier", "", ""
  "name", "", ""
  "nameComplete", "", ""
  "nameFormatted", "", ""
  "nomenclaturalCode", "", ""
  "nomenclaturalStatus", "", ""
  "occurrenceCount", "", ""
  "order", "", ""
  "orderGuid", "", ""
  "parentGuid", "", ""
  "phylum", "", ""
  "phylumGuid", "", ""
  "rank", "", ""
  "rankID", "", ""
  "scientificName", "", ""
  "scientificNameAuthorship", "", ""
  "species", "", ""
  "speciesGuid", "", ""
  "subclass", "", ""
  "subclassGuid", "", ""
  "subkingdom", "", ""
  "subkingdomGuid", "", ""
  "superclass", "", ""
  "superclassGuid", "", ""
  "taxonomicStatus", "", ""
